Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
90,19,0,22,3,Some Random Commen with Id 90
91,19,0,25,5,Some Random Commen with Id 91
92,20,2,164,8,Some Random Commen with Id 92
93,20,2,145,1,Some Random Commen with Id 93
94,20,2,40,7,Some Random Commen with Id 94
95,20,2,138,1,Some Random Commen with Id 95
96,20,2,74,0,Some Random Commen with Id 96
97,20,2,193,4,Some Random Commen with Id 97
98,20,2,33,2,Some Random Commen with Id 98
99,20,2,60,3,Some Random Commen with Id 99
100,21,2,181,5,Some Random Commen with Id 100
101,21,2,165,2,Some Random Commen with Id 101
102,21,2,46,7,Some Random Commen with Id 102
103,21,2,43,5,Some Random Commen with Id 103
104,21,2,83,3,Some Random Commen with Id 104
105,21,2,21,3,Some Random Commen with Id 105
106,21,2,158,5,Some Random Commen with Id 106
107,21,2,178,9,Some Random Commen with Id 107
108,21,2,174,0,Some Random Commen with Id 108
109,22,8,25,6,Some Random Commen with Id 109
110,23,5,40,2,Some Random Commen with Id 110
111,23,5,70,3,Some Random Commen with Id 111
112,23,5,42,2,Some Random Commen with Id 112
113,23,5,0,4,Some Random Commen with Id 113
114,24,2,76,4,Some Random Commen with Id 114
115,24,2,80,7,Some Random Commen with Id 115
116,24,2,127,0,Some Random Commen with Id 116
117,24,2,13,7,Some Random Commen with Id 117
118,24,2,75,2,Some Random Commen with Id 118
119,24,2,172,1,Some Random Commen with Id 119
120,25,4,105,7,Some Random Commen with Id 120
121,25,4,71,7,Some Random Commen with Id 121
122,25,4,72,7,Some Random Commen with Id 122
123,25,4,107,9,Some Random Commen with Id 123
124,25,4,95,3,Some Random Commen with Id 124
125,25,4,13,9,Some Random Commen with Id 125
126,25,4,104,4,Some Random Commen with Id 126
127,25,4,101,4,Some Random Commen with Id 127
128,26,9,87,8,Some Random Commen with Id 128
129,26,9,164,9,Some Random Commen with Id 129
130,26,9,92,2,Some Random Commen with Id 130
131,26,9,106,2,Some Random Commen with Id 131
132,26,9,86,1,Some Random Commen with Id 132
133,26,9,44,0,Some Random Commen with Id 133
134,26,9,108,6,Some Random Commen with Id 134
135,26,9,8,7,Some Random Commen with Id 135
136,27,7,26,8,Some Random Commen with Id 136
137,27,7,130,9,Some Random Commen with Id 137
138,27,7,42,2,Some Random Commen with Id 138
139,27,7,76,4,Some Random Commen with Id 139
140,27,7,27,7,Some Random Commen with Id 140
141,27,7,149,3,Some Random Commen with Id 141
142,28,3,106,1,Some Random Commen with Id 142
143,28,3,174,6,Some Random Commen with Id 143
144,28,3,6,5,Some Random Commen with Id 144
145,28,3,61,9,Some Random Commen with Id 145
146,28,3,66,6,Some Random Commen with Id 146
147,28,3,146,5,Some Random Commen with Id 147
148,28,3,64,7,Some Random Commen with Id 148
149,28,3,102,1,Some Random Commen with Id 149
150,28,3,190,0,Some Random Commen with Id 150
151,29,4,184,1,Some Random Commen with Id 151
152,30,4,135,3,Some Random Commen with Id 152
153,30,4,46,4,Some Random Commen with Id 153
154,30,4,197,7,Some Random Commen with Id 154
155,30,4,2,4,Some Random Commen with Id 155
156,30,4,170,4,Some Random Commen with Id 156
157,30,4,73,5,Some Random Commen with Id 157
158,30,4,8,8,Some Random Commen with Id 158
159,31,2,83,6,Some Random Commen with Id 159
160,31,2,43,6,Some Random Commen with Id 160
161,31,2,125,9,Some Random Commen with Id 161
162,31,2,111,3,Some Random Commen with Id 162
163,31,2,6,0,Some Random Commen with Id 163
164,31,2,145,2,Some Random Commen with Id 164
165,31,2,160,9,Some Random Commen with Id 165
166,32,9,176,1,Some Random Commen with Id 166
167,33,4,0,5,Some Random Commen with Id 167
168,34,2,42,3,Some Random Commen with Id 168
169,34,2,25,2,Some Random Commen with Id 169
170,34,2,127,0,Some Random Commen with Id 170
171,35,2,102,2,Some Random Commen with Id 171
172,35,2,19,1,Some Random Commen with Id 172
173,35,2,0,3,Some Random Commen with Id 173
174,35,2,23,4,Some Random Commen with Id 174
175,35,2,151,7,Some Random Commen with Id 175
176,35,2,190,2,Some Random Commen with Id 176
177,36,3,172,9,Some Random Commen with Id 177
178,37,3,182,7,Some Random Commen with Id 178
179,37,3,92,6,Some Random Commen with Id 179
180,39,4,3,0,Some Random Commen with Id 180
181,39,4,103,0,Some Random Commen with Id 181
182,39,4,169,1,Some Random Commen with Id 182
183,39,4,118,5,Some Random Commen with Id 183
184,39,4,93,4,Some Random Commen with Id 184
185,39,4,37,4,Some Random Commen with Id 185
186,39,4,186,4,Some Random Commen with Id 186
187,39,4,31,1,Some Random Commen with Id 187
188,39,4,78,7,Some Random Commen with Id 188
